class,test_acc,vote_acc
Hand,0.7110119047619049,0.7321428571428572
Feet,0.669047619047619,0.6824404761904762
Tongue,0.6904761904761904,0.7145833333333335
Mis,0.6773809523809522,0.6845238095238095
