iter	Logloss
403	0.1191438947
404	0.1188033649
405	0.118382522
406	0.1181623459
407	0.1178472246
408	0.1175384113
409	0.1171856471
410	0.116904177
411	0.1166691235
412	0.1163598197
413	0.1159859249
414	0.1156829834
415	0.1154245922
416	0.1151392256
417	0.114790426
418	0.1145145144
419	0.114239863
420	0.1140171324
421	0.1137065615
422	0.1133425304
423	0.1131447179
424	0.1128204891
425	0.1125671932
426	0.112166432
427	0.1117722307
428	0.1115718297
429	0.1112785612
430	0.1109571116
431	0.1106722423
432	0.1104210241
433	0.1101084369
434	0.1098957743
435	0.1095023087
436	0.1092658384
437	0.109061282
438	0.1088202817
439	0.1085548878
440	0.1083417484
441	0.1081363269
442	0.1078625611
443	0.1075805528
444	0.1073041507
445	0.1071000372
446	0.1068148817
447	0.1065598079
448	0.1062230859
449	0.1060526439
450	0.1057340963
451	0.1054425921
452	0.1051800932
453	0.1049084663
454	0.10464171
455	0.1043466023
456	0.1041661807
457	0.103834956
458	0.1035942078
459	0.1033335209
460	0.1030106953
461	0.1027235576
462	0.10242689
463	0.1022259304
464	0.1019912175
465	0.1017567498
466	0.1015415464
467	0.1013095856
468	0.1010905402
469	0.1008776937
470	0.1005985601
471	0.1003782272
472	0.1001342705
473	0.09977016449
474	0.09951730456
475	0.09927543913
476	0.09897185734
477	0.09873563903
478	0.09848299026
479	0.09819013732
480	0.09789483888
481	0.09767317091
482	0.09741460936
483	0.09717820712
484	0.09691099439
485	0.09672229631
486	0.09644829886
487	0.0962802887
488	0.09600266729
489	0.09579512732
490	0.09558081627
491	0.09544437953
492	0.09515429905
493	0.09497194971
494	0.09476143973
495	0.09453254427
496	0.09429247039
497	0.09412085669
498	0.09387002672
499	0.09359582492
500	0.09336511748
501	0.093202625
502	0.09296211515
503	0.09281963621
504	0.09258062499
505	0.09236381395
506	0.09214031356
507	0.09190979004
508	0.09164718219
509	0.09131332125
510	0.09107943262
511	0.09092810495
512	0.09068803787
513	0.09052681242
514	0.09032663618
515	0.09014598301
516	0.08991278921
517	0.08966655731
518	0.08952963693
519	0.08931884766
520	0.08910824231
521	0.08883664267
522	0.08858123507
523	0.08838061605
524	0.08819094385
525	0.08796766826
526	0.08770774433
527	0.08747914178
528	0.08727876118
529	0.0870621
530	0.08687107904
531	0.0867037705
532	0.08654667991
533	0.08626794815
534	0.08608571461
535	0.08589322226
536	0.08571189472
537	0.08551153455
538	0.08538951874
539	0.08520470347
540	0.08506273542
541	0.08482402393
542	0.08460150446
543	0.0844288826
544	0.08420647212
545	0.08398680006
546	0.08380846296
547	0.08362653596
548	0.08351023538
549	0.08332905088
550	0.08318892206
551	0.08306288038
552	0.08290922301
553	0.08270540919
554	0.08255399295
555	0.08241135733
556	0.08227858543
557	0.08214469637
558	0.08193804877
559	0.08172543389
560	0.08157196045
561	0.08143749237
562	0.08132070814
563	0.08115842683
564	0.08097485134
565	0.08083412988
566	0.08066382408
567	0.08048308236
568	0.0802964483
569	0.08008715766
570	0.0799372673
571	0.07982072149
572	0.07964864458
573	0.07946145194
574	0.07934410913
575	0.07917578561
576	0.07903370857
577	0.07887923377
578	0.07873848506
579	0.0785462107
580	0.07835693359
581	0.07820414134
582	0.07801076344
583	0.07784495354
584	0.07766353062
585	0.07748604502
586	0.07734628405
587	0.07721689769
588	0.07709864889
589	0.07695797512
590	0.0767637934
591	0.07656114442
592	0.07644589288
593	0.07629626819
594	0.07615782193
595	0.07606481825
596	0.07590657643
597	0.07574011939
598	0.07560719081
599	0.07547104018
600	0.07533014842
601	0.07523087093
602	0.07505885533
603	0.07494465283
604	0.07479248047
605	0.07463268553
606	0.07446085385
607	0.07425973075
608	0.07411297389
609	0.07397062438
610	0.07384500504
611	0.07370719228
612	0.07355996541
613	0.07344036102
614	0.07330324309
615	0.07313622747
616	0.07296317645
617	0.07284240723
618	0.07268281664
619	0.07258206776
620	0.07243719782
621	0.0722809451
622	0.07213129997
623	0.07197938647
624	0.07182501384
625	0.07165449006
626	0.07151560102
627	0.07134575163
628	0.07118999617
629	0.0709964616
630	0.07087721143
631	0.07072565896
632	0.07061252594
633	0.07048414775
634	0.07034933226
635	0.07022443499
636	0.07009237834
637	0.06994800568
638	0.0697974205
639	0.06965547289
640	0.06950837544
641	0.0693660668
642	0.06922934396
643	0.06909765516
644	0.06900486946
645	0.06886358261
646	0.06874909401
647	0.06866164889
648	0.06854666982
649	0.06841749464
650	0.06829782213
651	0.0681905474
652	0.0680674621
653	0.06797248295
654	0.06780520848
655	0.06765488216
656	0.06750815255
657	0.06733164787
658	0.06721339907
659	0.06709638323
660	0.06695699692
661	0.06682929993
662	0.06666628974
663	0.06655551365
664	0.06645266669
665	0.06632539204
666	0.06618089676
667	0.06606788635
668	0.06593408585
669	0.06579788072
670	0.0656759807
671	0.06555561338
672	0.06544113159
673	0.06533483778
674	0.06524761745
675	0.06512343543
676	0.06498274122
677	0.06484757832
678	0.06469319889
679	0.06459684372
680	0.06447672163
681	0.06432375227
682	0.06424065999
683	0.0641459465
684	0.06403080395
685	0.06389844077
686	0.0637667111
687	0.06362955911
688	0.06353586061
689	0.06342321805
690	0.06331806864
691	0.06316651617
692	0.06308744975
693	0.06299608776
694	0.06289637429
695	0.06281471934
696	0.06273813248
697	0.06262715203
698	0.06251784733
699	0.062437003
700	0.06230540276
701	0.06220371383
702	0.06212938172
703	0.06196208681
704	0.06186340877
705	0.06175028937
706	0.06164323262
707	0.06150787898
708	0.06135873795
709	0.0612830707
710	0.06118057796
711	0.06109769004
712	0.06093036107
713	0.06083350182
714	0.06074219431
715	0.06064747402
716	0.0605355944
717	0.0603758267
718	0.06027810914
719	0.0601291929
720	0.06003353936
721	0.05992409842
722	0.0598418372
723	0.05973874501
724	0.05960457666
725	0.05949010849
726	0.05939927782
727	0.05933693477
728	0.059252882
729	0.05914138385
730	0.05905792373
731	0.05895722253
732	0.0588492121
733	0.05872550692
734	0.05862052781
735	0.05851067134
736	0.05842297418
737	0.058333104
738	0.05822986194
739	0.05810271672
740	0.05801049641
741	0.05790889604
742	0.05782307216
743	0.05773044314
744	0.05763440813
745	0.05753276008
746	0.0574306488
747	0.05735679354
748	0.0572659765
749	0.05719815663
750	0.05710105215
751	0.05703178814
752	0.05694732666
753	0.0568474429
754	0.05673981735
755	0.05660070011
756	0.05649373872
757	0.05643239021
758	0.05634491784
759	0.05627694471
760	0.05615399906
761	0.05605443205
762	0.05594465733
763	0.0558316367
764	0.05574013846
765	0.05565852778
766	0.05555853162
767	0.05547245911
768	0.05538508892
769	0.05525312424
770	0.05514818941
771	0.0550961222
772	0.05502510411
773	0.05492466518
774	0.05485345977
775	0.05476870537
776	0.05465962887
777	0.05457383905
778	0.05448976585
779	0.05437008994
780	0.0542708431
781	0.05419566291
782	0.05409621511
783	0.05399863039
784	0.05389070851
785	0.05379163878
786	0.05373824324
787	0.05365937097
788	0.05356990269
789	0.05348193986
790	0.05342066629
791	0.05331590857
792	0.05325058869
793	0.05315424715
794	0.05310200623
795	0.05303294999
796	0.05292489869
797	0.05282245364
798	0.05274318968
799	0.05265885762
800	0.05255435875
801	0.05247240407
802	0.05237657683
803	0.05228306907
804	0.0522008419
805	0.05211361476
806	0.05205486161
807	0.05198142869
808	0.05188595227
809	0.05180437224
810	0.051696011
811	0.05163468633
812	0.05153569153
813	0.05145116874
814	0.05138221468
815	0.05132722855
816	0.05125162261
817	0.05117618016
818	0.05110672201
819	0.05105333328
820	0.05098011153
821	0.05093780586
822	0.05087302753
823	0.05082536425
824	0.05075052806
825	0.05068109376
826	0.05059133257
827	0.05048783166
828	0.05040060452
829	0.05032893249
830	0.05022103446
831	0.05013027532
832	0.05006251335
833	0.04997134209
834	0.04989698614
835	0.04983844076
836	0.04975489208
837	0.04965577126
838	0.04958996432
839	0.0495108332
840	0.04941829273
841	0.04931000301
842	0.04919947215
843	0.04911513329
844	0.04903343746
845	0.0489563397
846	0.04888191564
847	0.04878281866
848	0.04872210026
849	0.04864248548
850	0.04855553763
851	0.0484677451
852	0.0483927863
853	0.04832379477
854	0.04823061398
855	0.04815656458
856	0.04806826455
857	0.04798497132
858	0.04789436204
859	0.04780390603
860	0.04771414825
861	0.04763663837
862	0.04756333487
863	0.04747302873
864	0.04739804268
865	0.04728746414
866	0.04723134722
867	0.04712972982
868	0.04705588818
869	0.04697195462
870	0.04687428474
871	0.04679265022
872	0.0467120375
873	0.04663632938
874	0.04653282166
875	0.04645562513
876	0.04637885775
877	0.04629423959
878	0.04623921258
879	0.04617794582
880	0.04610951969
881	0.04605774539
882	0.04598161834
883	0.04591617584
884	0.04584393501
885	0.04576141494
886	0.04568541731
887	0.04560915402
888	0.04554889543
889	0.04545997211
890	0.04540030275
891	0.04531749998
892	0.04523421015
893	0.04513818877
894	0.04506639412
895	0.04500256607
896	0.04489519937
897	0.04480815615
898	0.0447332246
899	0.04463295596
900	0.04456445149
901	0.04449789524
902	0.0444241115
903	0.04433971133
904	0.04428127153
905	0.04421076093
906	0.04412891524
907	0.04404966491
908	0.04400066308
909	0.04392251287
910	0.04384900502
911	0.04378558568
912	0.04372887611
913	0.04364732334
914	0.04359083516
915	0.04351608413
916	0.04343544074
917	0.04336363929
918	0.04328915732
919	0.04321034636
920	0.04315008436
921	0.04310432162
922	0.04304364749
923	0.04298308577
924	0.04290562698
925	0.04283730303
926	0.0427688803
927	0.04269817897
928	0.04263714041
929	0.04258143902
930	0.04248534611
931	0.04239606857
932	0.04233024802
933	0.04224590574
934	0.04217914173
935	0.04210132871
936	0.04203122003
937	0.04200032439
938	0.04192066874
939	0.04187042373
940	0.04180125509
941	0.04171950477
942	0.04165588788
943	0.04159697465
944	0.0415518965
945	0.04149928434
946	0.04146173682
947	0.04142020089
948	0.04135036809
949	0.04128328732
950	0.04123783112
951	0.04118088314
952	0.0411149638
953	0.04107458251
954	0.04099251543
955	0.04092493057
956	0.04087686879
957	0.04081229823
958	0.04075688294
959	0.04070358617
960	0.04063676425
961	0.04057522161
962	0.04052094051
963	0.04045609747
964	0.040402518
965	0.04036489895
966	0.04029996736
967	0.04024180004
968	0.04017829214
969	0.04010936192
970	0.04004004002
971	0.03998791831
972	0.039929533
973	0.03987571171
974	0.03982511589
975	0.03976449966
976	0.03970473834
977	0.03964724541
978	0.03958406448
979	0.03952076094
980	0.03947262764
981	0.03941360882
982	0.03935728754
983	0.03928660665
984	0.03921358926
985	0.03914219311
986	0.03910073893
987	0.0390303203
988	0.03897571223
989	0.03893130166
990	0.03888451712
991	0.03881064142
992	0.03874400684
993	0.03867283889
994	0.0386025565
995	0.03854575157
996	0.03849505697
997	0.03846036707
998	0.03839958736
999	0.03836299011
