class,test_acc,vote_acc
Hand,0.6871559633027523,0.6878899082568808
Feet,0.6743119266055045,0.6803669724770642
Tongue,0.6214678899082569,0.6222018348623852
Mis,0.6253211009174311,0.6326605504587155
