participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block
3,Hand,Rest,56.003703355789185,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Feet,Rest,110.88143134117126,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Tongue,Rest,167.2103750705719,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Mis,Rest,222.8413712978363,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Hand,Rest,54.678617000579834,0.9464285714285714,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Feet,Rest,108.82568359375,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Tongue,Rest,164.17291021347046,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Mis,Rest,220.66323161125183,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Hand,Rest,55.310264348983765,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Feet,Rest,109.37176990509032,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Tongue,Rest,164.5513617992401,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Mis,Rest,220.1539795398712,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Hand,Rest,54.59936261177063,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Feet,Rest,108.81648445129396,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Tongue,Rest,166.3414056301117,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Mis,Rest,222.8633382320404,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Hand,Rest,55.22228503227234,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Feet,Rest,110.56020665168762,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Tongue,Rest,164.75247025489807,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Mis,Rest,219.51684832572937,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Hand,Rest,56.45438194274902,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Feet,Rest,110.50444102287292,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Tongue,Rest,165.10490894317627,0.9821428571428572,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Mis,Rest,221.28242921829224,0.5357142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Hand,Rest,56.63022589683533,0.9821428571428572,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Feet,Rest,110.84893798828124,0.9821428571428572,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Tongue,Rest,165.65193343162537,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Mis,Rest,220.04946374893188,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Hand,Rest,55.296831369400024,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Feet,Rest,109.38062357902528,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Tongue,Rest,164.6665334701538,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Mis,Rest,219.98414874076843,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Hand,Rest,55.31538152694702,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Feet,Rest,109.26587700843812,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Tongue,Rest,165.55319952964783,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Mis,Rest,220.96936917304993,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Hand,Rest,53.808677434921265,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Feet,Rest,107.89119005203248,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Tongue,Rest,162.4709928035736,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Mis,Rest,216.8743786811829,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Hand,Rest,53.42108225822449,0.9464285714285714,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Feet,Rest,106.81700778007507,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Tongue,Rest,161.85256695747375,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Mis,Rest,216.71455216407776,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
