participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block
11,Hand,Rest,59.68724250793457,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Feet,Rest,115.22644877433775,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Tongue,Rest,171.2468283176422,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Mis,Rest,225.00029873847961,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",01234,56
