participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block
3,Hand,Rest,29.407838344573975,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Feet,Rest,57.29607152938843,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Tongue,Rest,84.82149028778076,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Mis,Rest,112.55098009109496,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Hand,Rest,28.779009103775024,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Feet,Rest,56.45354771614075,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Tongue,Rest,84.34546566009521,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Mis,Rest,112.4067542552948,0.6071428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Hand,Rest,28.60213351249695,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Feet,Rest,55.933188915252686,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Tongue,Rest,84.4811954498291,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Mis,Rest,111.92424035072328,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Hand,Rest,28.528703689575195,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Feet,Rest,56.80342125892639,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Tongue,Rest,84.4316074848175,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Mis,Rest,112.28900599479675,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
