participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block
8,Hand,Rest,47.309972524642944,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Feet,Rest,99.924950838089,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Tongue,Rest,156.42195177078247,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Mis,Rest,207.39242553710938,0.5892857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",01234,56
