participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block
3,Hand,Rest,65.369633436203,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Feet,Rest,123.0851423740387,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Tongue,Rest,181.63662576675415,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
3,Mis,Rest,239.81304550170896,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Hand,Rest,56.38428330421448,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Feet,Rest,112.61425018310548,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Tongue,Rest,169.82662081718445,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
4,Mis,Rest,227.12589168548584,0.6071428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Hand,Rest,57.45688033103943,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Feet,Rest,113.96558380126952,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Tongue,Rest,171.6069416999817,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
5,Mis,Rest,229.6539649963379,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Hand,Rest,57.217960357666016,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Feet,Rest,114.26909279823305,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Tongue,Rest,172.73785996437073,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
6,Mis,Rest,230.1397640705109,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Hand,Rest,57.253281593322754,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Feet,Rest,113.82245111465454,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Tongue,Rest,171.9126751422882,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
7,Mis,Rest,229.13962030410767,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Hand,Rest,56.45438194274902,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Feet,Rest,110.50444102287292,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Tongue,Rest,165.10490894317627,0.9821428571428572,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
8,Mis,Rest,221.28242921829224,0.5357142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Hand,Rest,56.48162913322449,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Feet,Rest,114.0093104839325,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Tongue,Rest,171.2981493473053,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
9,Mis,Rest,229.47638463974,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Hand,Rest,57.27832984924317,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Feet,Rest,114.82034301757812,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Tongue,Rest,173.21535992622375,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
10,Mis,Rest,231.66227054595947,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Hand,Rest,57.107675075531006,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Feet,Rest,114.45274353027344,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Tongue,Rest,172.48389506340027,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
11,Mis,Rest,230.71070790290833,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Hand,Rest,58.68926429748535,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Feet,Rest,115.56229591369627,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Tongue,Rest,174.27108454704285,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
13,Mis,Rest,232.80894684791565,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Hand,Rest,56.8347909450531,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Feet,Rest,113.20113682746889,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Tongue,Rest,171.08966517448425,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
14,Mis,Rest,228.84273147583008,0.6071428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",1234,56
