,,Hand,Feet,Tongue,Mis
0,U-statistic,77.0,61.0,58.0,38.0
1,p-value,0.3568902304430954,0.09724636170336189,0.07240734006074492,0.0065706567816210025
2,alpha,0.05,0.05,0.05,0.05
