,,Hand,Feet,Tongue,Mis
0,U-statistic,85.0,77.0,42.0,46.0
1,p-value,0.5804112384153828,0.3568902304430954,0.011289948137763824,0.01880710166283665
2,alpha,0.05,0.05,0.05,0.05
