,,Hand,Feet,Tongue,Mis
0,U-statistic,100.5,119.0,71.0,94.0
1,p-value,0.9077483505650048,0.32827606918116004,0.2298190819972148,0.8898906921108491
2,alpha,0.05,0.05,0.05,0.05
