,4s-0%,4s-75%,2s-0%,2s-50%,1s-0%
4s-0%,1.0,0.28438305630368077,0.22944082380957265,0.001,0.001
4s-75%,0.28438305630368077,1.0,0.9,0.022506771309455997,0.004834244192566395
2s-0%,0.22944082380957265,0.9,1.0,0.03184430252452397,0.007260518616412082
2s-50%,0.001,0.022506771309455997,0.03184430252452397,1.0,0.9
1s-0%,0.001,0.004834244192566395,0.007260518616412082,0.9,1.0
