,,Hand,Feet,Tongue,Mis
0,U-statistic,85.5,79.5,59.0,44.0
1,p-value,0.5954776088704363,0.4191399228611705,0.07858985382856178,0.01434487207228301
2,alpha,0.05,0.05,0.05,0.05
