,Hand,Feet,Tongue,Mis
U-statistic,84.0,66.0,63.0,51.0
p-value,0.5492732687760808,0.1532844720368013,0.11729672541632553,0.03408997487531451
alpha,0.05,0.05,0.05,0.05
