class,test_acc,vote_acc
Hand,0.574404761904762,0.550595238095238
Feet,0.5511904761904761,0.5327380952380951
Tongue,0.5404761904761904,0.5267857142857142
Mis,0.5136904761904761,0.5178571428571429
