class,test_acc,vote_acc
Hand,0.6669642857142858,0.6842261904761905
Feet,0.6431547619047618,0.6642857142857144
Tongue,0.6101190476190476,0.6255952380952381
Mis,0.5949404761904763,0.6160714285714286
