class,test_acc,vote_acc
Hand,0.7238095238095238,0.7000000000000001
Feet,0.7238095238095238,0.7023809523809524
Tongue,0.6964285714285715,0.6630952380952382
Mis,0.7023809523809524,0.6785714285714287
